All_species,Added_species
Aster ageratoides,
Aster amellus,
Aster ascendens,
Aster concinnus,
Aster cordifolius,
Aster dumosus,
Aster ericoides,
Aster junceus,
Aster laevis,
Aster laevis x novi-belgii = A. x versicolor,
Aster lanceolatus,
Aster lateriflorus,
Aster linosyris,
Aster macrophyllus,
Aster novae-angliae,
Aster novi-belgii,
Aster novi-belgii agg.,
Aster novi-belgii x lanceolatus = A. x salignus,
Aster pilosus,
Aster praealtus,
Aster prenanthoides,
Aster puniceus,
Aster schreberi,
Aster sedifolius,
Aster seedling,
Aster sp.,
Aster spectabilis,
Aster subulatus,
Aster tripolium,
Aster tripolium var. discoideus,
Aster umbellatus,
Aster vimineus,
Aster x salignus,
Aster x versicolor,
Asteriscus aquaticus,
Asteriscus maritimus,
Asteriscus seedling,
Asteriscus sp.,
Astilbe chinensis,
Astilbe japonica,
Astilbe japonica x chinensis x rosea = A. x arendsii,
Astilbe seedling,
Astilbe sp.,
Astragalus alpinus,
Astragalus boeticus,
Astragalus cicer,
Astragalus cruciatus,
Astragalus danicus,
Astragalus glycyphyllos,
Astragalus hamosus,
Astragalus hispidulus,
Astragalus nuttallianus,
Astragalus odoratus,
Astragalus scorpioides,
Astragalus seedling,
Astragalus sesameus,
Astragalus sp.,
Astragalus stella,
Astragalus tribuloides,
Astrantia carniolica,
Astrantia major,
Astrantia maxima,
Astrantia minor,
Astrantia seedling,
Astrantia sp.,
Astrebla lappacea,
Astrebla seedling,
Astrebla sp.,
Athanasia crithmifolia,
Athanasia seedling,
Athanasia sp.,
Athanasia trifurcata,
Athyrium distentifolium,
Athyrium filix-femina,
Athyrium flexile,
Athyrium seedling,
Athyrium sp.,
Atractylis cancellata,
Atractylis humilis,
Atractylis seedling,
Atractylis sp.,
Atrichum angustatum,
Atrichum crispum,
Atrichum seedling,
Atrichum sp.,
Atrichum tenellum,
Atrichum undulatum,
Atriplex australasica,
Atriplex calotheca,
Atriplex eardleyae,
Atriplex glabriuscula,
Atriplex glabriuscula x longipes = A. x taschereaui,
Atriplex glabriuscula x praecox,
Atriplex glauca,
Atriplex halimus,
Atriplex hortensis,
Atriplex laciniata,
Atriplex limbata,
Atriplex littoralis,
Atriplex littoralis x patula,
Atriplex longipes,
Atriplex micrantha,
Atriplex muelleri,
Atriplex oblongifolia,
Atriplex patula,
Atriplex pedunculata,
Atriplex platensis,
Atriplex portulacoides,
Atriplex praecox,
Atriplex prostrata,
Atriplex prostrata x glabriuscula,
Atriplex prostrata x littoralis = A. x hulmeana,
Atriplex prostrata x longipes = A. x gustafssoniana,
Atriplex rosea,
Atriplex sagittata,
Atriplex seedling,
Atriplex semibaccata,
Atriplex semilunaris,
Atriplex sp.,
Atriplex spongiosa,
Atriplex stylosa,
Atriplex suberecta,
Atriplex tatarica,
Atropa belladonna,
Atropa seedling,
Atropa sp.,
Aubrieta deltoidea,
Aubrieta seedling,
Aubrieta sp.,
Aucuba japonica,
Aucuba seedling,
Aucuba sp.,
Aulacomnium androgynum,
Aulacomnium palustre,
Aulacomnium seedling,
Aulacomnium sp.,
Aulacomnium turgidum,
Author seedling,
Author sp.,
Avena barbata,
Avena brevis,
Avena byzantina,
Avena fatua,
Avena fatua x sativa = A. x hybrida,
Avena nuda,
Avena sativa,
Avena sativa subsp. praegravis,
Avena sativa subsp. sativa,
Avena seedling,
Avena sp.,
Avena sterilis,
Avena sterilis ludoviciana,
Avena sterilis subsp. ludoviciana,
Avena sterilis subsp. sterilis,
Avena strigosa,
Avenula pratensis,
Avenula pubescens,
Avenula seedling,
Avenula sp.,
Axonopus affinis,
Axonopus compressus,
Axonopus repens,
Axonopus seedling,
Axonopus sp.,
Axyris amaranthoides,
Axyris seedling,
Axyris sp.,
Azolla filiculoides,
Azolla seedling,
Azolla sp.,
Baccharis halimifolia,
Baccharis seedling,
Baccharis sp.,
Bacidia absistens,
Bacidia arceutina,
Bacidia arnoldiana,
Bacidia assulata,
Bacidia auerswaldii,
Bacidia bagliettoana,
Bacidia beckhausii,
Bacidia biatorina,
Bacidia caligans,
Bacidia carneoglauca,
Bacidia chloroticula,
Bacidia circumspecta,
Bacidia cuprea,
Bacidia delicata,
Bacidia egenula,
Bacidia friesiana,
Bacidia fuscoviridis,
Bacidia hegetschweileri,
Bacidia herbarum,
Bacidia incompta,
Bacidia inundata,
Bacidia laurocerasi,
Bacidia naegelii,
Bacidia phacodes,
Bacidia polychroa,
Bacidia rubella,
Bacidia sabuletorum,
Bacidia saxenii,
Bacidia scopulicola,
Bacidia seedling,
Bacidia sp.,
Bacidia subcircumspecta,
Bacidia subfuscula,
Bacidia subincompta,
Bacidia subturgidula,
Bacidia trachona,
Bacidia vezdae,
Bacidia viridescens,
Bacidia viridifarinosa,
Bactrospora corticola,
Bactrospora dryina,
Bactrospora seedling,
Bactrospora sp.,
Baeomyces placophyllus,
Baeomyces roseus,
Baeomyces rufus,
Baeomyces seedling,
Baeomyces sp.,
Bahia dissecta,
Bahia neomexicana,
Bahia seedling,
Bahia sp.,
Baldellia ranunculoides,
Baldellia seedling,
Baldellia sp.,
Ballota acetabulosa,
Ballota hispanica,
Ballota nigra,
Ballota nigra subsp. meridionalis,
Ballota nigra subsp. nigra,
Ballota pseudodictamnus,
Ballota seedling,
Ballota sp.,
Baptisia seedling,
Baptisia sp.,
Baptisia tinctoria,
Barbarea intermedia,
Barbarea seedling,
Barbarea sp.,
Barbarea stricta,
Barbarea verna,
Barbarea vulgaris,
Barbilophozia atlantica,
Barbilophozia attenuata,
Barbilophozia barbata,
Barbilophozia floerkei,
Barbilophozia hatcheri,
Barbilophozia kunzeana,
Barbilophozia lycopodioides,
Barbilophozia quadriloba,
Barbilophozia seedling,
Barbilophozia sp.,
Barbula acuta,
Barbula convoluta,
Barbula convoluta var. commutata,
Barbula cordata,
Barbula cylindrica,
Barbula fallax,
Barbula ferruginascens,
Barbula glauca,
Barbula hornschuchiana,
Barbula icmadophila,
Barbula mamillosa,
Barbula maxima,
Barbula nicholsonii,
Barbula recurvirostra,
Barbula reflexa,
Barbula revoluta,
Barbula rigidula,
Barbula seedling,
Barbula sp.,
Barbula spadicea,
Barbula tophacea,
Barbula trifaria,
Barbula unguiculata,
Barbula vinealis,
"Bare rock (talus,outcrops,shingle)",
Bare seedling,
Bare soil (including sand),
Bare sp.,
Bartramia hallerana,
Bartramia ithyphylla,
Bartramia pomiformis,
Bartramia seedling,
Bartramia sp.,
Bartramia stricta,
Bartramidula seedling,
Bartramidula sp.,
Bartramidula wilsoni,
Bartsia alpina,
Bartsia seedling,
Bartsia sp.,
Bassia hyssopifolia,
Bassia muricata,
Bassia prostrata,
Bassia scoparia,
Bassia seedling,
Bassia sp.,
Bazzania pearsonii,
Bazzania seedling,
Bazzania sp.,
Bazzania tricrenata,
Bazzania trilobata,
Beckmannia eruciformis,
Beckmannia seedling,
Beckmannia sp.,
Beckmannia syzigachne,
Begonia cucullata x schmidtiana = B. x semperflorens,
Begonia grandis,
Begonia rex,
Begonia seedling,
Begonia sp.,
Bellardia seedling,
Bellardia sp.,
Bellardia trixago,
Bellemerea alpina,
Bellemerea seedling,
Bellemerea sp.,
Bellevalia romana,
Bellevalia seedling,
Bellevalia sp.,
Bellis annua,
Bellis perennis,
Bellis seedling,
Bellis sp.,
Bellium bellidioides,
Bellium seedling,
Bellium sp.,
Belonia calcicola,
Belonia incarnata,
Belonia nidarosiensis,
Belonia russula,
Belonia seedling,
Belonia sp.,
Berberis aggregata,
Berberis buxifolia,
Berberis darwinii,
Berberis darwinii x empetrifolia = B. x stenophylla,
Berberis gagnepainii,
Berberis gagnepainii x candidula = B. x hybrido-gagnepainii,
Berberis glaucocarpa,
Berberis hookeri,
Berberis julianae,
Berberis manipurana,
Berberis pruinosa,
Berberis seedling,
Berberis sp.,
Berberis thunbergii,
Berberis verruculosa,
Berberis vulgaris,
Berberis vulgaris x thunbergii = B. x ottawensis,
Berberis wilsoniae,
Bergenia ciliata,
Bergenia cordifolia,
Bergenia crassifolia,
Bergenia crassifolia x ciliata = B. x schmidtii,
Bergenia purpurascens,
Bergenia seedling,
Bergenia sp.,
Berkheya heterophylla,
Berkheya pinnatifida,
Berkheya rigida,
Berkheya seedling,
Berkheya sp.,
Berteroa incana,
Berteroa seedling,
Berteroa sp.,
Berula erecta,
Berula seedling,
Berula sp.,
Beta seedling,
Beta sp.,
Beta trigyna,
Beta vulgaris,
Beta vulgaris maritima,
Beta vulgaris subsp. cicla,
Beta vulgaris subsp. maritima,
Beta vulgaris subsp. vulgaris,
Betula nana,
Betula papyrifera,
Betula pendula,
Betula pendula (c),
Betula pendula (g),
Betula pendula (s),
Betula pendula x pubescens (c),
Betula pendula x pubescens (g),
Betula pendula x pubescens (s),
Betula pendula x pubescens = B. x aurata,
Betula pubescens,
Betula pubescens (c),
Betula pubescens (g),
Betula pubescens (s),
Betula pubescens odorata,
Betula pubescens subsp. pubescens,
Betula pubescens subsp. tortuosa,
Betula pubescens x nana = B. x intermedia,
Betula seedling,
Betula seedling/sp,
Betula sp.,
Biatora carneoalbida,
Biatora cuprea,
Biatora epixanthoides,
Biatora epixanthoidiza,
Biatora seedling,
Biatora sp.,
Biatora sphaeroides,
Biatora tetramera,
Biatora vernalis,
Biatorella fossarum,
Biatorella hemisphaerica,
Biatorella monasteriensis,
Biatorella seedling,
Biatorella sp.,
Bidens aristosa,
Bidens bipinnata,
Bidens biternata,
Bidens camporum,
Bidens cernua,
Bidens connata,
Bidens ferulifolia,
Bidens frondosa,
Bidens laevis,
Bidens pilosa,
Bidens seedling,
Bidens sp.,
Bidens subalternans,
Bidens tenuisecta,
Bidens tripartita,
Bidens vulgata,
Bifora radians,
Bifora seedling,
Bifora sp.,
Bifora testiculata,
Bilderdykia aubertii,
Bilderdykia convolvulus,
Bilderdykia dumetorum,
Bilderdykia seedling,
Bilderdykia sp.,
Biscutella auriculata,
Biscutella cichoriifolia,
Biscutella laevigata,
Biscutella seedling,
Biscutella sp.,
Biserrula pelecinus,
Biserrula seedling,
Biserrula sp.,
Bivonaea lutea,
Bivonaea seedling,
Bivonaea sp.,
Blackstonia perfoliata,
Blackstonia seedling,
Blackstonia sp.,
Blarneya hibernica,
Blarneya seedling,
Blarneya sp.,
Blasia pusilla,
Blasia seedling,
Blasia sp.,
Blechnum cordatum,
Blechnum penna-marina,
Blechnum seedling,
Blechnum sp.,
Blechnum spicant,
Blepharostoma seedling,
Blepharostoma sp.,
Blepharostoma trichophyllum,
Bletilla seedling,
Bletilla sp.,
Bletilla striata,
Blindia acuta,
Blindia caespiticia,
Blindia seedling,
Blindia sp.,
Blue-green alga,
Blue seedling,
Blue sp.,
Blumenbachia hieronymii,
Blumenbachia insignis,
Blumenbachia seedling,
Blumenbachia sp.,
Blysmus compressus,
Blysmus rufus,
Blysmus seedling,
Blysmus sp.,
Boissiera seedling,
Boissiera sp.,
Boissiera squarrosa,
Bolboschoenus maritimus,
Bolboschoenus seedling,
Bolboschoenus sp.,
Boltonia asteroides,
Boltonia seedling,
Boltonia sp.,
Bombycilaena erecta,
Bombycilaena seedling,
Bombycilaena sp.,
Borago officinalis,
Borago pygmaea,
Borago seedling,
Borago sp.,
Boreava orientalis,
Boreava seedling,
Boreava sp.,
Borreria seedling,
Borreria sp.,
Borreria verticillata,
Bostrychia scorpioides,
Bostrychia seedling,
Bostrychia sp.,
Bothriochloa decipiens,
Bothriochloa insculpta,
Bothriochloa ischaemum,
Bothriochloa macra,
Bothriochloa seedling,
Bothriochloa sp.,
Botrychium lunaria,
Botrychium seedling,
Botrychium sp.,
Bouteloua curtipendula,
Bouteloua seedling,
Bouteloua sp.,
Bowlesia incana,
Bowlesia seedling,
Bowlesia sp.,
Brachiaria deflexa,
Brachiaria eruciformis,
Brachiaria gilesii,
Brachiaria marlothii,
Brachiaria platyphylla,
Brachiaria seedling,
Brachiaria sp.,
Brachydontium seedling,
Brachydontium sp.,
Brachydontium trichodes,
Brachyglottis compacta x laxifolia = B. 'Sunshine',
Brachyglottis monroi,
Brachyglottis repanda,
Brachyglottis seedling,
Brachyglottis sp.,
Brachypodium distachyon,
Brachypodium pinnatum,
Brachypodium pinnatum agg.,
Brachypodium retusum,
Brachypodium rupestre,
Brachypodium seedling,
Brachypodium sp.,
Brachypodium sylvaticum,
Brachyscome ciliaris,
Brachyscome graminea,
Brachyscome iberidifolia,
Brachyscome perpusilla,
Brachyscome seedling,
Brachyscome sp.,
Brachythecium albicans,
Brachythecium erythrorrhizon,
Brachythecium glaciale,
Brachythecium glareosum,
Brachythecium mildeanum,
Brachythecium plumosum,
Brachythecium populeum,
Brachythecium reflexum,
Brachythecium rivulare,
Brachythecium rutabulum,
Brachythecium salebrosum,
Brachythecium seedling,
Brachythecium sp.,
Brachythecium starkei,
Brachythecium velutinum,
Brassica barrelieri,
Brassica carinata,
Brassica elongata,
Brassica fruticulosa,
Brassica juncea,
Brassica napus,
Brassica napus subsp. oleifera,
Brassica napus subsp. rapifera,
Brassica napus x rapa = B. x harmsiana,
Brassica nigra,
Brassica oleracea,
Brassica rapa,
Brassica rapa subsp. campestris,
Brassica rapa subsp. oleifera,
Brassica rapa subsp. rapa,
Brassica repanda,
Brassica seedling,
Brassica sp.,
Brassica tournefortii,
Breutelia chrysocoma,
Breutelia seedling,
Breutelia sp.,
Brigantiaea fuscolutea,
Brigantiaea seedling,
Brigantiaea sp.,
Briquetia seedling,
Briquetia sp.,
Briquetia spicata,
Briza humilis,
Briza maxima,
Briza media,
Briza minor,
Briza seedling,
Briza sp.,
Bromopsis benekenii,
Bromopsis ciliata,
Bromopsis erecta,
Bromopsis inermis,
Bromopsis inermis subsp. inermis,
Bromopsis inermis subsp. pumpelliana,
Bromopsis ramosa,
Bromopsis seedling,
Bromopsis sp.,
Bromus alopecuros,
Bromus arduennensis,
Bromus arvensis,
Bromus benekenii,
Bromus brachystachys,
Bromus briziformis,
Bromus carinatus,
Bromus commutatus,
Bromus danthoniae,
Bromus diandrus,
Bromus erectus,
Bromus grossus,
Bromus hordeaceus,
Bromus hordeaceus ferronii,
Bromus hordeaceus hordeaceus,
Bromus hordeaceus subsp. ferronii,
Bromus hordeaceus subsp. hordeaceus,
Bromus hordeaceus subsp. longipedicellatus,
Bromus hordeaceus subsp. molliformis,
Bromus hordeaceus subsp. thominei,
Bromus hordeaceus thominei,
Bromus hordeaceus x lepidus = B. x pseudothominei,
Bromus inermis,
Bromus intermedius,
Bromus interruptus,
Bromus japonicus,
Bromus lanceolatus,
Bromus lepidus,
Bromus madritensis,
Bromus pectinatus,
Bromus pseudosecalinus,
Bromus racemosus,
Bromus ramosus,
Bromus scoparius,
Bromus secalinus,
Bromus seedling,
Bromus sp.,
Bromus squarrosus,
Bromus sterilis,
Bromus tectorum,
Bromus trinii,
Bromus x pseudothominei,
Browallia americana,
Browallia seedling,
Browallia sp.,
Browallia speciosa,
Brunnera macrophylla,
Brunnera seedling,
Brunnera sp.,
Bryocaulon divergens,
Bryocaulon seedling,
Bryocaulon sp.,
Bryonia cretica dioica,
Bryonia dioica,
Bryonia seedling,
Bryonia sp.,
Bryonora curvescens,
Bryonora seedling,
Bryonora sp.,
Bryophagus gloeocapsa,
Bryophagus seedling,
Bryophagus sp.,
Bryophyte seedling,
Bryophyte sp.,
Bryophyte spp,
Bryoria bicolor,
Bryoria capillaris,
Bryoria chalybeiformis,
Bryoria furcellata,
Bryoria fuscescens,
Bryoria fuscescens var positiva,
Bryoria implexa,
Bryoria lanestris,
Bryoria nadvornikiana,
Bryoria nitidula,
Bryoria seedling,
Bryoria smithii,
Bryoria sp.,
Bryoria subcana,
Bryum algovicum var rutheanum,
Bryum alpinum,
Bryum arcticum,
Bryum argenteum,
Bryum argenteum var. lanatum,
Bryum bicolor,
Bryum bornholmense,
Bryum caespiticium,
Bryum calophyllum,
Bryum canariense,
Bryum capillare,
Bryum capillare var rufifolium,
Bryum creberrimum,
Bryum cyclophyllum,
Bryum dixonii,
Bryum donianum,
Bryum dunense,
Bryum elegans,
Bryum erythrocarpum,
Bryum flaccidum,
Bryum gemmiferum,
Bryum gemmilucens,
Bryum gemmiparum,
Bryum inclinatum,
Bryum intermedium,
Bryum klinggraeffii,
Bryum knowltonii,
Bryum mamillatum,
Bryum marratii,
Bryum microerythrocarpum,
Bryum mildeanum,
Bryum muehlenbeckii,
Bryum neodamense,
Bryum pallens,
Bryum pallescens,
Bryum pseudotriquetrum,
Bryum radiculosum,
Bryum riparium,
Bryum rubens,
Bryum ruderale,
Bryum salinum,
Bryum sauteri,
Bryum schleicheri,
Bryum seedling,
Bryum sp.,
Bryum stirtonii,
Bryum tenuisetum,
Bryum torquescens,
Bryum turbinatum,
Bryum uliginosum,
Bryum violaceum,
Bryum warneum,
Bryum weigelii,
Buddleja alternifolia,
Buddleja davidii,
Buddleja davidii x globosa = B. x weyeriana,
Buddleja globosa,
Buddleja lindleyana,
Buddleja seedling,
Buddleja sp.,
Buellia abstracta,
Buellia aethalea,
Buellia arnoldii,
Buellia asterella,
Buellia coniops,
Buellia disciformis,
Buellia erubescens,
Buellia excelsa,
Buellia griseovirens,
Buellia insignis,
Buellia leptocline,
Buellia leptoclinoides,
Buellia meiosperma,
Buellia ocellata,
Buellia pulverea,
Buellia pulverulenta,
Buellia punctata,
Buellia sanguinolenta,
Buellia saxorum,
Buellia schaereri,
Buellia seedling,
Buellia sp.,
Buellia spuria,
Buellia stellulata,
Buellia subdisciformis,
Buellia uberior,
Buglossoides arvensis,
Buglossoides purpurocaerulea,
Buglossoides seedling,
Buglossoides sp.,
Bulbostylis humilis,
Bulbostylis seedling,
Bulbostylis sp.,
Bulbostylis striatella,
Bunias erucago,
Bunias orientalis,
Bunias seedling,
Bunias sp.,
Bunium bulbocastanum,
Bunium seedling,
Bunium sp.,
Buphthalmum salicifolium,
Buphthalmum seedling,
Buphthalmum sp.,
Bupleurum baldense,
Bupleurum croceum,
Bupleurum falcatum,
Bupleurum fruticosum,
Bupleurum lancifolium,
Bupleurum nodiflorum,
Bupleurum odontites,
Bupleurum petraeum,
Bupleurum rotundifolium,
Bupleurum seedling,
Bupleurum semicompositum,
Bupleurum sp.,
Bupleurum subovatum,
Bupleurum tenuissimum,
Butomus seedling,
Butomus sp.,
Butomus umbellatus,
Buxbaumia aphylla,
Buxbaumia seedling,
Buxbaumia sp.,
Buxbaumia viridis,
Buxus balearica,
Buxus seedling,
Buxus sempervirens,
Buxus sempervirens (g),
Buxus sempervirens (s),
Buxus sp.,
Byssoloma leucoblepharum,
Byssoloma marginatum,
Byssoloma seedling,
Byssoloma sp.,
Byssoloma subdiscordans,
Cabomba caroliniana,
Cabomba seedling,
Cabomba sp.,
Cachrys seedling,
Cachrys sp.,
Cachrys uechtritzii,
Caesalpinia seedling,
Caesalpinia sp.,
Caesalpinia spinosa,
Cakile maritima,
Cakile maritima subsp. integrifolia,
Cakile seedling,
Cakile sp.,
Calamagrostis canescens,
Calamagrostis canescens x stricta = C. x gracilescens,
Calamagrostis epigejos,
Calamagrostis epigejos x Ammophila arenaria = X Calammophila baltica,
Calamagrostis purpurea,
Calamagrostis purpurea subsp. phragmitoides,
Calamagrostis scotica,
Calamagrostis seedling,
Calamagrostis sp.,
Calamagrostis stricta,
Calamintha nepeta,
Calamintha seedling,
Calamintha sp.,
Calamintha sylvatica ascendens,
Calandrinia ciliata,
Calandrinia seedling,
Calandrinia sp.,
Calandrinia umbellata,
Calceolaria biflora,
Calceolaria chelidonioides,
Calceolaria integrifolia,
Calceolaria seedling,
Calceolaria sp.,
Calceolaria x herbeohybrida,
Calcium seedling,
Calcium sp.,
"Calcium, umoles/g",
Caldesia parnassiifolia,
Caldesia seedling,
Caldesia sp.,
Calendula arvensis,
Calendula officinalis,
Calendula seedling,
Calendula sp.,
Calepina irregularis,
Calepina seedling,
Calepina sp.,
Calicium abietinum,
Calicium adspersum,
Calicium corynellum,
Calicium diploellum,
Calicium glaucellum,
Calicium lenticulare,
Calicium parvum,
Calicium quercinum,
Calicium salicinum,
Calicium seedling,
Calicium sp.,
Calicium trabinellum,
Calicium viride,
Calla palustris,
Calla seedling,
Calla sp.,
Calliergon cordifolium,
Calliergon cuspidatum,
Calliergon giganteum,
Calliergon sarmentosum,
Calliergon seedling,
Calliergon sp.,
Calliergon stramineum,
Calliergon trifarium,
Callistephus chinensis,
Callistephus seedling,
Callistephus sp.,
Callitriche brutia,
Callitriche cophocarpa,
Callitriche hamulata,
Callitriche hamulata agg.,
Callitriche hermaphroditica,
Callitriche obtusangula,
Callitriche palustris,
Callitriche platycarpa,
Callitriche seedling,
Callitriche seedling/sp,
Callitriche sp.,
Callitriche stagnalis,
Callitriche truncata,
Callitriche truncata subsp. occidentalis,
Calluna seedling,
Calluna sp.,
Calluna vulgaris,
Calocedrus decurrens,
Calocedrus seedling,
Calocedrus sp.,
Calocephalus knappii,
Calocephalus seedling,
Calocephalus sp.,
Caloplaca alociza,
Caloplaca approximata,
Caloplaca aractina,
Caloplaca arenaria,
Caloplaca atroflava,
Caloplaca aurantia,
Caloplaca britannica,
Caloplaca ceracea,
Caloplaca cerina,
Caloplaca cerinella,
Caloplaca chalybaea,
Caloplaca chrysophthalma,
Caloplaca cinnamomea,
Caloplaca cirrochroa,
Caloplaca citrina,
Caloplaca concilians,
Caloplaca crenularia,
Caloplaca crenulatella,
Caloplaca dalmatica,
Caloplaca decipiens,
Caloplaca ferruginea,
Caloplaca flavescens,
Caloplaca flavorubescens,
Caloplaca flavovirescens,
Caloplaca granulosa,
Caloplaca haematites,
Caloplaca herbidella,
Caloplaca holocarpa,
Caloplaca irrubescens,
Caloplaca isidiigera,
Caloplaca lactea,
Caloplaca littorea,
Caloplaca lucifuga,
Caloplaca luteoalba,
Caloplaca marina,
Caloplaca microthallina,
Caloplaca nivalis,
Caloplaca obliterans,
Caloplaca obscurella,
Caloplaca ochracea,
Caloplaca pollinii,
Caloplaca ruderum,
Caloplaca saxicola,
Caloplaca scopularis,
Caloplaca seedling,
Caloplaca sp.,
Caloplaca teicholyta,
Caloplaca thallincola,
Caloplaca ulcerosa,
